event_id,log_template,entity_node_id,action_node_id,status_node_id,is_anomaly,is_anomaly_reason
122,<*> <*> -TERM succeeded,-term_0,Succeeded_0,none_0,True,"The log message indicates a user session being opened, which is a normal execution process."
1170,/sbin/mingetty[<*>]: tty<*>: can't exec /bin/login: Input/output error,/bin/login_1,Exec_1,Input/output error_1,False,"This log message indicates a trap received by the snmpd service, which is a normal process in SNMP communication."
1013,i<*>c /dev entries driver,/devEntries_2,Driver_2,none_2,True,"The log message indicates that the data_thread() did not receive any answer from any data source, which is abnormal behavior."
855,ioctl<*>(fdisk:<*>): Unknown cmd fd(<*>) cmd(<*>){<*>} arg(ffffda<*>) on /dev/sda,/dev/sda_3,UnknownCmd_3,none_3,False,This log message indicates a normal execution process of closing a session for a user.
85,fsck: [/sbin/fsck.ext<*> (<*>) -- <*> fsck.ext<*> -a /dev/sda<*>,/dev/sda_3,Checking_4,none_4,False,The log message appears to be a standard SSH login attempt
347,fsck: fsck.ext<*> -a /dev/sda<*>,/dev/sda_3,Changed_5,none_5,True,The log message indicates a fatal error which is likely abnormal in the execution process.
433,NET: /sbin/dhclient-script : updated /etc/resolv.conf,/etc/resolv.conf_4,Discoveredandassigned_6,none_6,True,"The log message indicates a failure in mad_process for an InfiniHost port, which suggests an abnormal execution process."
1093,acceptor-<*>[<*>]: error creating /var/run/acceptor-<*>.pid: No space left on device,/var/run/acceptor-.pid_5,ErrorCreating_7,No space left on device_7,False,"This log message represents a scheduled task being executed by the crond service, which is a normal process."
808,ACPI: Local APIC address <*>,Acpi_6,Address_8,none_8,True,"The log message indicates a temperature sensor value, which may be outside of the normal range indicating a potential issue with the sensor or the server's temperature."
681,ACPI: PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>,Acpi_6,Start_9,none_9,False,"The log message indicates that the temperature sensor has returned to a normal value, so the execution process is considered normal."
814,ACPI: Subsystem revision <*>,Acpi_6,Installation_10,none_10,True,"The log message indicates a kernel execution process, which may be abnormal depending on the context and specific details provided in the log."
605,"ACPI: PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.",Acpi_6,Ensuring_11,none_12,True,The log message indicates a failure in executing a certain action.
552,ACPI: PCI <*> <*> <*> <*>,Acpi_6,Installing_12,none_13,True,"The log message indicates a failure in the IB SM discovery process, which is an abnormal execution process."
