event_id,log_template,entity_node_id,action_node_id,status_node_id,is_anomaly,is_anomaly_reason
8,<*>:50010 Served block blk_<*> to /<*>,/_0,serving_0,none_0,False,The log message indicates a typical block receiving process from source to destination.
13,BLOCK* ask <*>:50010 to replicate blk_<*> to datanode(s) <*>:50010,BLOCK*_1,replicate_1,none_1,False,"The log message indicates a block being added to the block map, which is a normal execution process in a NameSystem."
20,BLOCK* ask <*>:50010 to replicate blk_<*> to datanode(s) <*>:50010 <*>:50010,BLOCK*_1,write_2,none_2,True,"The log message indicates an error in handling a packet responder for a specific block, which is abnormal and may require further investigation."
2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:50010 is added to blk_<*> size <*>,NameSystem_2,add_3,updated_3,False,This log message seems to be a standard message indicating the receipt of a block
7,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,NameSystem_2,allocate_4,none_4,False,"This log message indicates a routine process of deleting a block file, which is a common operation in many systems."
41,PacketResponder blk_<*> 1 Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[closed]. <*> millis timeout left.,PacketResponder_3,none_5,exception_5,True,"The log message indicates that a block deletion operation failed and the block was added to the invalidSet, which is not a normal execution process."
46,PacketResponder blk_<*> 1 Exception java.io.IOException: The stream is closed,PacketResponder_3,none_6,exception_6,False,The log message indicates a normal block allocation process in the NameSystem.
27,PendingReplicationMonitor timed out block blk_<*>,blk_4,timed out_7,none_7,True,"The log message indicates serving a block, which is a normal process in execution. However, the specific block and destination may raise concerns for further investigation."
29,PacketResponder blk_<*> <*> Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010]. <*> millis timeout left.,blk_4,none_8,exception_10,True,"The log message indicates an exception occurred while serving a block to a client, which is not a normal execution process."
30,PacketResponder blk_<*> <*> Exception <*>,blk_4,none_9,exception_11,False,The log message indicates a successful verification process for a block.
31,PacketResponder blk_<*> <*> Exception java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for read. ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],blk_4,none_10,exception_12,False,This log message indicates a normal block received during execution.
32,Exception in receiveBlock for block blk_<*> java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,blk_4,none_11,exception_13,False,"The log message indicates a block being transmitted, which is a normal execution process."
33,writeBlock blk_<*> received exception java.io.IOException: <*> <*>,blk_4,write_12,exception_14,False,"The log message indicates a block replication request, which is a common process in a distributed file system like Hadoop. It does not indicate any abnormalities."
34,writeBlock blk_<*> received exception java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for <*> ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],blk_4,write_12,exception_15,False,The log message indicates a normal execution process of starting a thread to transfer a block.
24,writeBlock blk_<*> received exception <*>,blk_4,write_12,exception_16,True,"The log message indicates an unexpected error while trying to delete a block, suggesting an abnormal execution process."
37,"writeBlock blk_<*> received exception java.io.IOException: Block blk_<*> is valid, and cannot be written to.",blk_4,write_12,exception_17,True,"The log message indicates an exception occurred while trying to read from a stream, which is not a normal execution process."
38,<*>:50010:Failed to transfer blk_<*> to <*>:50010 got java.io.IOException: Connection reset by peer,blk_4,transfer_13,failed_20,True,Receiving an empty packet for a block can indicate a potential issue with data transmission or data corruption.
39,writeBlock blk_<*> received exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,blk_4,write_12,exception_18,True,"The log message indicates that a block request was received for a block that does not belong to any file, which is not a normal execution process."
40,PacketResponder blk_<*> <*> Exception java.io.IOException: Broken pipe,blk_4,none_14,exception_22,True,Redundant addStoredBlock request received
42,Exception in receiveBlock for block blk_<*> java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for write. ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],blk_4,none_15,exception_23,False,"The log message is a typical block replication request, which is a normal execution process."
43,Reopen Block blk_<*>,blk_4,reopen_16,none_24,False,The log message indicates a normal execution process of starting a thread to transfer a block.
44,BLOCK* Removing block blk_<*> from neededReplications as it does not belong to any file.,blk_4,receiving_17,none_25,True,"The log message indicates an exception in receiving a block, which suggests an abnormal execution process."
45,Exception in receiveBlock for block blk_<*> java.io.IOException: Broken pipe,blk_4,none_18,exception_26,True,"The log message indicates an exception java.io.IOException: Connection reset by peer, which suggests an abnormal execution process."
35,PacketResponder blk_<*> <*> Exception java.io.IOException: Connection reset by peer,blk_4,none_19,exception_27,True,"The log message indicates that an exception was received during the writeBlock process, which is abnormal behavior."
26,Exception in receiveBlock for block blk_<*> <*>,blk_4,none_20,exception_28,False,"This log message seems to indicate a routine operation of changing block file offset and meta file offset, which is commonly seen in normal execution processes."
47,writeBlock blk_<*> received exception java.net.NoRouteToHostException: No route to host,blk_4,receive_21,exception_29,True,"The log message indicates an exception in receiving a block, which is not a normal execution process."
23,writeBlock blk_<*> received exception java.io.IOException: Connection reset by peer,blk_4,write_12,exception_19,True,"The log message indicates a timeout in the replication process, which is abnormal behavior."
